PID,Block,Code(s),Coded excerpt (paraphrased)
P1,A,"1, 2","Felt the two systems the same; second run ""felt more smooth"" but attributed this to a possible learning effect rather than a real difference."
P1,B,"3, 4",First run had plenty of time; briefly confused why a warning fired at all.
P1,B,4,"Stopped for the first second, then checked the car and decided whether to continue."
P1,C,5,Could still text through the alerts; did not feel the warnings cost much mental effort.
P1,C,"5, TagB","Confused by the red-bar overlay – unsure whether to tap/interact with it (""should I click it?"")."
P1,D,6a,Once felt confused when a warning arrived after she had already passed.
P1,D,"6b, 6c","Did not feel more annoyed over time; became calmer and less startled, not because she ignored it but because she was more prepared."
P1,D,2,Would tolerate either system long-term; saw no real difference.
P1,E,8,"Trusted the system from the start and even more by the end, despite the short exposure."
P1,E,7,"Said she would rather rely on her own judgement, since she still checked the road herself at points."
P1,F,11,Alerts and behaviour felt realistic to her.
P1,G,TagB,The red side-bar confused her because it appeared with no further explanatory information.
P1,Closing,TagA,"Suggested a single unified alert rather than separate signals, reasoning that juggling multiple distinct warning types while already occupied by the phone task would be too much."
P2,A,1,"Only distinguished the systems after the second Adaptive run; found Baseline's timing and cueing ""really good."""
P2,A,"6c, TagB","Red block read like a screen malfunction; annoyed that the reset arrow was blocked while active; timing felt disconnected from a real threat, which was irritating when the second alarm then came on top."
P2,A,2,Preferred Baseline – timing and cues were clearer; Adaptive's cues felt irritating.
P2,A,1,"Did not notice the directional arrow in the VHA alert at all during the session – only reacted positively (""awww"") once it was explained afterward."
P2,Closing,TagA,"Suggested a conventional traffic-warning-sign icon instead of a plain red hue, since the red specifically evoked a phone malfunction to her."
P3,D,4,"Reported saying ""ultra irritating"" at the first VHA alarm."
P3,B,"3, 4",Most of the time had plenty of time to continue; only once felt she would have been hit if she'd kept going.
P3,B,4,Tended to just keep going – treated the alert as a reminder to be more aware rather than a command to stop.
P3,C,5,No perceived difference between systems; texting and crossing together felt demanding regardless of condition.
P3,C,"5, 8",First 2–3 runs felt challenging; became easier to handle as trust in the system grew.
P3,D,"8, 6b",Ignored the alerts at first; gained trust and became more attentive to surroundings the more she used it.
P3,D,"2, 8","Could see herself using Baseline long-term, but only after building enough trust in it."
P3,E,8,Started with zero trust; trust grew with use.
