PID,Walker_speed,Walking_style
1,normal,dynamic
2,slow,dynamic
3,fast,dynamic
4,normal,constant
5,normal,constant
6,slow,constant
7,normal,constant
8,normal,constant
9,fast,dynamic
10,slow,constant
11,normal,constant
12,fast,constant
13,slow,constant
14,normal,constant
15,normal,dynamic
16,normal,constant
17,normal,dynamic
18,fast,constant
19,slow,dynamic
20,slow,dynamic
21,slow,constant
22,normal,constant
23,normal,constant
24,slow,constant
25,normal,constant
26,fast,dynamic
27,fast,dynamic
28,normal,dynamic
29,normal,constant
30,slow,constant
