pid,mode,n_trials,n_responded,ttc_mean,false_stop_rate,mode_label
1,a,2,1,7.1324000000000005,0.5,Adaptive
1,b,2,0,4.618399999999999,0.0,Baseline
10,a,2,0,5.9082,0.0,Adaptive
10,b,2,0,4.94855,0.0,Baseline
11,a,2,0,3.9951999999999996,0.0,Adaptive
11,b,2,0,4.8721,0.0,Baseline
12,a,2,0,4.218249999999999,0.0,Adaptive
12,b,2,0,3.0944000000000003,0.0,Baseline
13,a,2,0,6.0393,0.0,Adaptive
13,b,2,0,5.5678,0.0,Baseline
14,a,2,2,5.0541,1.0,Adaptive
14,b,2,0,4.8624,0.0,Baseline
15,a,2,2,5.69055,1.0,Adaptive
15,b,2,0,4.5215499999999995,0.0,Baseline
16,a,2,0,3.9319499999999996,0.0,Adaptive
16,b,2,0,4.37465,0.0,Baseline
17,a,2,2,5.9943,1.0,Adaptive
17,b,2,0,4.70275,0.0,Baseline
18,a,2,2,4.0066500000000005,1.0,Adaptive
18,b,2,0,4.2938,0.0,Baseline
19,a,2,0,5.250500000000001,0.0,Adaptive
19,b,2,0,4.207000000000001,0.0,Baseline
2,a,2,0,4.644349999999999,0.0,Adaptive
2,b,2,0,3.62165,0.0,Baseline
20,a,2,0,7.9219,0.0,Adaptive
20,b,2,0,6.0173,0.0,Baseline
21,a,2,2,5.577450000000001,1.0,Adaptive
21,b,2,0,5.59925,0.0,Baseline
22,a,2,1,4.43565,0.5,Adaptive
22,b,2,0,4.066599999999999,0.0,Baseline
23,a,2,0,5.06145,0.0,Adaptive
23,b,2,0,3.388,0.0,Baseline
24,a,2,1,6.06145,0.5,Adaptive
24,b,2,0,7.15335,0.0,Baseline
25,a,2,0,4.57,0.0,Adaptive
25,b,2,0,6.187150000000001,0.0,Baseline
26,a,2,0,4.2356,0.0,Adaptive
26,b,2,0,3.6966,0.0,Baseline
27,a,2,1,3.554,0.5,Adaptive
27,b,2,0,3.3373999999999997,0.0,Baseline
28,a,2,0,4.7385,0.0,Adaptive
28,b,2,0,5.20345,0.0,Baseline
29,a,2,1,4.4632000000000005,0.5,Adaptive
29,b,2,0,4.6583000000000006,0.0,Baseline
3,a,2,0,2.86235,0.0,Adaptive
3,b,2,0,2.7485,0.0,Baseline
30,a,2,0,7.3088,0.0,Adaptive
30,b,2,0,5.83955,0.0,Baseline
4,a,2,2,5.32635,1.0,Adaptive
4,b,2,0,6.1261,0.0,Baseline
5,a,2,0,6.53545,0.0,Adaptive
5,b,2,0,6.33555,0.0,Baseline
6,a,2,0,5.6114999999999995,0.0,Adaptive
6,b,2,0,5.9055,0.0,Baseline
7,a,2,1,4.52805,0.5,Adaptive
7,b,2,0,4.5282,0.0,Baseline
8,a,2,0,5.2585999999999995,0.0,Adaptive
8,b,2,0,3.1635999999999997,0.0,Baseline
9,a,2,2,3.9059999999999997,1.0,Adaptive
9,b,2,0,3.5898000000000003,0.0,Baseline
