pid,mode,ttc_mean,ttc_sd,n_trials,n_collisions,n_responses,collision_rate,response_rate,mode_label
1,a,4.65062,0.6790530590461981,5,2,1,0.4,0.2,Adaptive
1,b,4.603579999999999,0.20256980772069635,5,1,4,0.2,0.8,Baseline
10,a,5.33296,0.5801490351625171,5,0,5,0.0,1.0,Adaptive
10,b,4.86012,0.8563663188145597,5,0,5,0.0,1.0,Baseline
11,a,4.66562,0.4009442504887682,5,0,1,0.0,0.2,Adaptive
11,b,4.28024,0.5988929436886029,5,0,1,0.0,0.2,Baseline
12,a,3.6026000000000002,0.3276287380557451,5,1,0,0.2,0.0,Adaptive
12,b,3.72594,0.5548482612390526,5,1,0,0.2,0.0,Baseline
13,a,5.8168,1.0739143448152655,5,0,5,0.0,1.0,Adaptive
13,b,5.8232,1.038546142451071,5,0,5,0.0,1.0,Baseline
14,a,4.56842,0.5276334542085059,5,0,5,0.0,1.0,Adaptive
14,b,4.81324,0.24743985733911197,5,1,4,0.2,0.8,Baseline
15,a,4.95028,0.6462484947758098,5,0,4,0.0,0.8,Adaptive
15,b,4.10356,0.39281029518076555,5,0,3,0.0,0.6,Baseline
16,a,4.17166,0.6588510704248721,5,0,5,0.0,1.0,Adaptive
16,b,4.23146,0.5032067994373686,5,2,3,0.4,0.6,Baseline
17,a,5.66812,0.7422780759257276,5,0,5,0.0,1.0,Adaptive
17,b,4.6535,0.12459927768650934,5,0,0,0.0,0.0,Baseline
18,a,3.8484000000000003,0.5433284595895932,5,0,5,0.0,1.0,Adaptive
18,b,4.25624,0.5467995546816036,5,0,5,0.0,1.0,Baseline
19,a,6.032220000000001,1.6425765513363448,5,0,0,0.0,0.0,Adaptive
19,b,5.334560000000001,0.7504264241083196,5,2,0,0.4,0.0,Baseline
2,a,3.96918,1.034122602499336,5,0,2,0.0,0.4,Adaptive
2,b,4.5339,1.1654239722092559,5,0,5,0.0,1.0,Baseline
20,a,6.36222,1.9040294133757492,5,0,0,0.0,0.0,Adaptive
20,b,5.13718,1.9981146356002701,5,1,2,0.2,0.4,Baseline
21,a,6.14826,0.7258955145198237,5,0,5,0.0,1.0,Adaptive
21,b,5.10458,0.6361850964931514,5,0,5,0.0,1.0,Baseline
22,a,4.20382,0.4220276851108229,5,0,5,0.0,1.0,Adaptive
22,b,4.074859999999999,0.7130697532499887,5,0,5,0.0,1.0,Baseline
23,a,5.03912,0.74475392714641,5,5,0,1.0,0.0,Adaptive
23,b,4.5263,0.512638176494884,5,5,0,1.0,0.0,Baseline
24,a,6.963380000000001,0.973427961895486,5,0,5,0.0,1.0,Adaptive
24,b,7.19164,0.6553443583338459,5,0,5,0.0,1.0,Baseline
25,a,5.77526,0.8655485503424981,5,3,2,0.6,0.4,Adaptive
25,b,5.26036,0.33412623063746466,5,2,2,0.4,0.4,Baseline
26,a,4.15512,0.786361349507973,5,3,2,0.6,0.4,Adaptive
26,b,3.71062,0.48303899635536673,5,2,2,0.4,0.4,Baseline
27,a,3.8278999999999996,0.4739025005209405,5,0,2,0.0,0.4,Adaptive
27,b,3.78352,0.2297341877039637,5,0,0,0.0,0.0,Baseline
28,a,5.13064,0.568474795395539,5,5,0,1.0,0.0,Adaptive
28,b,4.69514,0.7778787006982517,5,5,0,1.0,0.0,Baseline
29,a,4.57452,0.8320590225458767,5,0,5,0.0,1.0,Adaptive
29,b,4.83924,0.8271895085166396,5,0,5,0.0,1.0,Baseline
3,a,3.71702,1.417686873748925,5,0,0,0.0,0.0,Adaptive
3,b,3.56586,1.6635081463581713,5,0,0,0.0,0.0,Baseline
30,a,7.6081,1.8009758674118872,5,5,0,1.0,0.0,Adaptive
30,b,6.14664,1.0626218579532418,5,5,0,1.0,0.0,Baseline
4,a,7.18742,1.9738700734850814,5,0,5,0.0,1.0,Adaptive
4,b,6.10552,2.682962576518726,5,0,5,0.0,1.0,Baseline
5,a,5.68264,1.0240179822639837,5,0,5,0.0,1.0,Adaptive
5,b,5.85788,0.9436480948955497,5,0,5,0.0,1.0,Baseline
6,a,4.66882,0.550615934204596,5,0,0,0.0,0.0,Adaptive
6,b,5.37092,1.6358168378519644,5,1,1,0.2,0.2,Baseline
7,a,4.015140000000001,0.6356363370670374,5,1,4,0.2,0.8,Adaptive
7,b,4.55358,1.1053359294802643,5,0,4,0.0,0.8,Baseline
8,a,5.1018799999999995,0.7101886348006426,5,1,4,0.2,0.8,Adaptive
8,b,5.35182,1.2565164113532301,5,5,0,1.0,0.0,Baseline
9,a,3.6474199999999994,0.26784482821215716,5,1,1,0.2,0.2,Adaptive
9,b,3.49856,0.6053189927633196,5,0,0,0.0,0.0,Baseline
