pid,mode,run_id,trial_type,outcome,effective_outcome,ttc_at_response,elapsed_ab,t_c,t_b_to_c,early_warn_t,full_warn_t,timing_error,responded,collision,response_stop,not_in_time,avoided,safe_stop,stopped_at_alarm,stopped_at_alarm_raw,looked_at_screen,looked_at_traffic,gaze_general_raw,gaze_alarm_raw,note,walker_speed,walking_style
1,a,c1,stop,safe_stop,not_in_time,4.8382,1.6494,,,3.1553,,0.3617,False,False,False,True,True,False,True,f,True,False,phone,f,problem with chat task -> catch not in time because stopped right after B,normal,dynamic
1,a,c2,stop,safe_stop,safe_stop,9.4266,3.2136,,,9.1577,,0.0,False,False,False,False,False,True,False,no,True,False,phone,f,stopped at B,normal,dynamic
1,a,s1,safe,safe_turn,safe_turn,3.7805,1.2888,,,,,1.4194,False,False,False,False,False,False,False,no,True,False,phone,no,stopped for ambient,normal,dynamic
1,a,s2,safe,safe_turn,safe_turn,4.6138,1.5729,,,,,0.586,False,False,False,False,False,False,False,no,True,False,phone,no,,normal,dynamic
1,a,t1,hit,collision,response_run,5.0491,1.7213,,,4.1888,6.815,0.1509,False,False,False,False,True,False,False,no,True,False,phone,both,stopped for ambient and faster for trigger,normal,dynamic
1,a,t2,hit,response_stop,response_stop,5.5337,1.8865,9.3007,5.6765,4.197,6.7933,0.0,True,False,True,False,True,False,True,vha,True,False,phone,vha,wanted to continue after f,normal,dynamic
1,a,t3,hit,response_stop,collision,4.2217,1.4392,7.823,4.2361,3.8242,6.4971,0.9783,True,True,False,False,False,False,True,f,True,False,phone,f,no VHA even after continuing to walk after f,normal,dynamic
1,a,t4,hit,collision,not_in_time,4.6476,1.5844,,,3.2585,5.8761,0.5523,False,False,False,True,True,False,True,both,True,False,phone,both,stopped for ambient,normal,dynamic
1,a,t5,hit,response_stop,collision,3.801,1.2958,7.539,4.6702,3.0801,5.7553,1.399,True,True,False,False,False,False,True,both,True,False,phone,both,no VHA even after continuing to walk after,normal,dynamic
1,b,c1,stop,safe_stop,safe_stop,5.1231,1.7465,,,,,0.0769,False,False,False,False,False,True,False,no,True,True,both,no,no stop,normal,dynamic
1,b,c2,stop,safe_stop,safe_stop,4.1137,1.4024,,,,,1.0862,False,False,False,False,False,True,False,no,True,False,phone,no,no stop,normal,dynamic
