pid,a_ttc,b_ttc,a_rt,b_rt
1,3.2156,1.4122,,
2,1.5926,1.7794,1.287,1.0135999999999998
5,2.0212,1.2567499999999998,1.0596,1.3082500000000001
6,2.323,2.1664000000000003,0.29359999999999997,0.45899999999999996
8,1.6771999999999998,1.6942,,
9,1.5190000000000001,0.9682000000000001,,
10,2.4106666666666663,1.95,1.0333333333333334,0.592
11,1.8706,2.2386000000000004,0.865,0.4739999999999999
12,2.3262,2.366,,
13,2.4106,1.627,0.867,1.547
14,4.5414,2.36575,1.5618,0.18133333333333335
16,2.2079999999999997,2.3194,0.38120000000000004,0.165
17,4.146800000000001,2.3414,,
18,4.9458,1.9533999999999998,0.1588,0.6362
19,2.6534,2.2518000000000002,0.40519999999999995,0.3613333333333333
20,1.8085999999999998,1.5168,0.9033999999999999,1.389
21,3.7596000000000003,1.4384000000000001,0.8952,1.1709999999999998
22,2.628,1.7112000000000003,0.4328,0.8932
23,2.304,2.1372,,
24,3.4932000000000003,1.7498,1.1372,0.7709999999999999
25,1.99,2.12775,,
26,2.3922,2.1149999999999998,,
27,1.567,2.3398,1.6188000000000002,0.17980000000000002
28,1.9042000000000001,1.68225,,
29,4.275799999999999,1.9154,0.3866,0.632
30,1.6073333333333333,1.90075,,
