participant_id,condition,sync_mode,trial_id,heading_norm,outcome,warning_type,alarm_video_s,alarm_video_mmss,reaction_video_s,reaction_video_mmss,rt_s,rt_ms,reaction_type,notes,qc_mismatch,alarm_sim_s,ttc_at_actual_response,ttc_lookup_status,Walker_speed,Walking_style
P1,Adaptive,direct,t3,,response_stop,f,70.0,,71.168,,1.168,1167.8,gaze_side,,False,3.8242,3.998,ok,normal,dynamic
P1,Adaptive,direct,t5,,response_stop,f,101.325,,101.935,,0.61,610.2,gaze_up,,False,3.0801,4.467,ok,normal,dynamic
P1,Adaptive,direct,t4,,collision,f,224.382,,225.204,,0.821,821.2,gaze_up,,False,3.2585,4.298,ok,normal,dynamic
P1,Adaptive,direct,t2,0.08192,response_stop,vha,364.0,,364.473,,0.473,472.6,stop,,False,6.7933,2.067,ok,normal,dynamic
P1,Adaptive,direct,t1,0.09067,collision,vha,408.0,,409.207,,1.207,1206.6,run,,False,6.815,1.248,ok,normal,dynamic
P1,Baseline,direct,t2,0.02172,collision,vha,54.0,,55.651,,1.651,1651.1,run_back,,False,6.3397,0.903,ok,normal,dynamic
P1,Baseline,direct,t4,0.09641,collision,vha,100.0,,101.105,,1.105,1105.1,stop,,False,6.0606,1.513,ok,normal,dynamic
P1,Baseline,direct,t1,0.05844,collision,vha,174.0,,175.118,,1.118,1117.8,stop,,False,5.994,1.594,ok,normal,dynamic
P1,Baseline,direct,t5,0.0881,response_stop,vha,237.0,,238.134,,1.134,1133.6,stop,,False,5.976,1.605,ok,normal,dynamic
P1,Baseline,direct,t3,0.08137,collision,vha,331.0,,332.174,,1.174,1174.0,stop,,False,6.2785,1.446,ok,normal,dynamic
P2,Adaptive,direct,t2,0.04889,collision,vha,32.0,,33.128,,1.128,1128.3,stop,,False,12.3418,1.733,ok,slow,dynamic
P2,Adaptive,direct,t3,0.01939,collision,vha,84.0,,85.387,,1.387,1386.9,stop,,False,13.5864,1.513,ok,slow,dynamic
P2,Adaptive,direct,t1,0.04355,collision,vha,223.0,,224.999,,1.999,1998.8,stop,,False,11.5638,1.018,ok,slow,dynamic
P2,Adaptive,direct,t5,0.1265,collision,vha,292.0,,293.588,,1.588,1588.3,run,,False,11.4699,1.589,ok,slow,dynamic
P2,Adaptive,direct,t4,0.12078,collision,vha,432.0,,432.634,,0.634,633.7,stop,,False,12.5914,2.11,ok,slow,dynamic
P2,Baseline,direct,t3,0.10168,response_stop,vha,108.0,,108.714,,0.714,714.0,stop,,False,22.6624,1.946,ok,slow,dynamic
P2,Baseline,direct,t5,0.12791,collision,vha,212.0,,212.827,,0.827,827.4,gaze_side,,False,13.7791,1.883,ok,slow,dynamic
P2,Baseline,direct,t4,0.1019,collision,vha,367.0,,368.681,,1.681,1680.7,gaze_side,,False,9.1281,1.313,ok,slow,dynamic
P2,Baseline,direct,t1,0.08746,response_stop,vha,417.0,,417.487,,0.487,487.0,run,,False,8.393,2.15,ok,slow,dynamic
P2,Baseline,direct,t2,0.09395,collision,vha,461.0,,462.359,,1.359,1359.5,stop,,False,17.9795,1.605,ok,slow,dynamic
P3,Adaptive,auto,t1,0.0154,collision,vha,8.364,,8.537,,0.173,172.6,run,,False,49.1455,2.358,ok,fast,dynamic
P3,Adaptive,auto,t5,0.03806,collision,vha,16.849,,17.007,,0.159,158.6,stop,,False,44.2459,2.383,ok,fast,dynamic
P3,Adaptive,auto,t3,0.00748,collision,vha,25.15,,25.311,,0.16,160.5,stop,,False,10.2141,2.34,ok,fast,dynamic
P3,Adaptive,auto,t2,0.01694,collision,vha,33.543,,33.715,,0.171,171.5,run,,False,8.9208,2.383,ok,fast,dynamic
P3,Adaptive,auto,t4,0.02774,collision,vha,42.005,,42.185,,0.18,180.1,run,,False,9.4587,2.34,ok,fast,dynamic
P3,Baseline,auto,t2,0.00287,collision,vha,8.547,,8.7,,0.153,153.1,run,,False,9.3305,2.4,ok,fast,dynamic
P3,Baseline,auto,t1,0.0625,collision,vha,17.032,,17.433,,0.4,400.4,gaze_up,,False,11.2946,2.217,ok,fast,dynamic
P3,Baseline,auto,t3,0.27108,collision,vha,25.39,,26.999,,1.609,1609.3,stop,,False,13.715,1.196,ok,fast,dynamic
P3,Baseline,auto,t5,0.00943,collision,vha,33.653,,34.465,,0.813,812.8,run,,False,16.7501,1.934,ok,fast,dynamic
P3,Baseline,auto,t4,,collision,vha,42.286,,,,,,,occluded_or_out_of_frame,False,10.7873,,no_rt,fast,dynamic
P4,Baseline,auto,t1,,collision,vha,8.5,,,,,,,annotated_reaction_not_automatable,True,29.7317,,no_rt,normal,constant
P4,Baseline,auto,t4,,collision,vha,16.7,,,,,,,annotated_reaction_not_automatable,True,6.9189,,no_rt,normal,constant
P4,Baseline,auto,t5,,collision,vha,25.602,,,,,,,annotated_reaction_not_automatable,True,12.2849,,no_rt,normal,constant
P4,Baseline,auto,t3,,collision,vha,33.957,,,,,,,annotated_reaction_not_automatable,True,7.0684,,no_rt,normal,constant
P4,Baseline,auto,t2,,collision,vha,42.335,,,,,,,annotated_reaction_not_automatable,True,12.0364,,no_rt,normal,constant
P5,Adaptive,direct,t3,0.06306,collision,vha,83.0,,84.414,,1.414,1414.4,gaze_side,,False,31.0906,1.196,ok,normal,constant
P5,Adaptive,direct,t1,0.01835,response_stop,f,374.346,,374.564,,0.217,217.3,run,,False,6.3355,4.834,ok,normal,constant
P5,Adaptive,direct,t2,0.06189,collision,vha,421.0,,422.539,,1.539,1538.6,gaze_side,,False,10.0835,1.001,ok,normal,constant
P5,Adaptive,direct,t4,0.0372,collision,vha,455.0,,456.444,,1.444,1444.4,stop,,False,6.7466,1.179,ok,normal,constant
P5,Adaptive,direct,t5,0.03069,collision,vha,492.0,,492.684,,0.684,683.9,run,,False,7.6922,1.896,ok,normal,constant
P5,Baseline,direct,t3,0.03519,response_stop,vha,23.0,,23.37,,0.37,370.3,run,,False,8.0673,2.175,ok,normal,constant
P5,Baseline,direct,t1,0.0729,collision,vha,88.0,,90.181,,2.181,2180.6,stop,,False,5.9918,0.386,ok,normal,constant
P5,Baseline,direct,t5,0.07784,collision,vha,114.0,,118.385,,4.385,4385.0,gaze_side,,False,6.831,,no_frame_within_0.5s (closest=1.70s away),normal,constant
P5,Baseline,direct,t2,0.07924,collision,vha,172.0,,173.727,,1.727,1726.9,stop,,False,8.2646,0.837,ok,normal,constant
P5,Baseline,direct,t4,0.06517,collision,vha,355.0,,355.955,,0.955,955.0,gaze_side,,False,9.0869,1.629,ok,normal,constant
P6,Adaptive,direct,t4,0.1359,collision,vha,31.0,,31.17,,0.17,169.8,stop,,False,11.5386,2.373,ok,slow,constant
P6,Adaptive,direct,t3,0.02307,collision,vha,83.0,,83.542,,0.542,541.8,run,,False,9.8734,2.159,ok,slow,constant
P6,Adaptive,direct,t2,0.12655,collision,vha,240.0,,240.158,,0.158,157.6,stop,,False,13.8138,2.433,ok,slow,constant
P6,Adaptive,direct,t5,0.13624,collision,vha,451.0,,451.179,,0.179,178.9,stop,,False,8.4186,2.4,ok,slow,constant
P6,Adaptive,direct,t1,0.12332,collision,vha,521.0,,521.419,,0.419,419.3,stop,,False,9.1289,2.25,ok,slow,constant
P6,Baseline,direct,t3,0.09497,collision,vha,41.0,,41.157,,0.157,156.7,stop,,False,9.1532,2.373,ok,slow,constant
P6,Baseline,direct,t1,0.08399,collision,vha,231.0,,231.544,,0.544,543.7,stop,,False,9.4498,2.09,ok,slow,constant
P6,Baseline,direct,t4,0.06515,collision,vha,342.0,,343.017,,1.017,1016.6,stop,,False,12.8744,1.813,ok,slow,constant
P6,Baseline,direct,t5,0.10606,collision,vha,456.0,,456.322,,0.322,322.3,gaze_side,,False,13.0101,2.273,ok,slow,constant
P6,Baseline,direct,t2,0.09251,collision,vha,520.0,,520.34,,0.34,340.1,stop,,False,11.7716,2.283,ok,slow,constant
P7,Adaptive,direct,t1,0.11114,collision,vha,219.0,,219.193,,0.193,193.4,stop,,False,12.3307,2.35,ok,normal,constant
P7,Adaptive,direct,t4,0.06399,collision,vha,326.0,,327.773,,1.773,1772.7,run_back,,False,9.836,0.813,ok,normal,constant
P7,Adaptive,direct,t2,0.01764,collision,f,433.399,,435.585,,2.186,2185.8,stop,,False,6.8428,2.933,ok,normal,constant
P7,Adaptive,direct,t5,0.01969,collision,f,505.357,,506.103,,0.746,746.3,run,,False,7.7284,4.317,ok,normal,constant
P7,Adaptive,direct,t3,0.00922,collision,f,544.398,,545.298,,0.901,900.5,run,,False,8.6627,4.248,ok,normal,constant
P7,Baseline,direct,t5,0.07782,collision,vha,19.0,,20.296,,1.296,1295.6,stop,,False,10.646,1.198,ok,normal,constant
P7,Baseline,direct,t1,0.08752,collision,vha,146.0,,151.867,,5.867,5867.4,stop,,False,6.1965,,no_frame_within_0.5s (closest=3.27s away),normal,constant
P7,Baseline,direct,t2,0.0812,collision,vha,251.0,,256.012,,5.012,5011.7,gaze_side,,False,8.903,,no_frame_within_0.5s (closest=2.44s away),normal,constant
P7,Baseline,direct,t3,0.0885,collision,vha,320.0,,323.864,,3.864,3863.8,run_back,,False,7.0704,,no_frame_within_0.5s (closest=1.20s away),normal,constant
P7,Baseline,direct,t4,0.12429,collision,vha,355.0,,356.757,,1.757,1756.7,run,,False,8.4749,0.878,ok,normal,constant
P8,Adaptive,direct,t5,0.20395,collision,vha,25.0,,25.959,,0.959,959.5,stop,,False,14.9116,1.632,ok,normal,constant
P8,Adaptive,direct,t3,0.20691,collision,vha,122.0,,122.59,,0.59,590.1,run,,False,9.1679,1.963,ok,normal,constant
P8,Adaptive,direct,t2,0.1671,collision,vha,324.0,,325.161,,1.161,1160.7,stop,,False,6.3522,1.597,ok,normal,constant
P8,Adaptive,direct,t4,0.11534,collision,vha,409.0,,409.345,,0.345,345.4,stop,,False,6.767,2.209,ok,normal,constant
P8,Adaptive,direct,t1,0.11776,collision,vha,518.0,,519.556,,1.556,1556.4,stop,,False,7.0043,0.985,ok,normal,constant
P8,Baseline,direct,t2,0.16684,collision,vha,155.0,,156.141,,1.141,1140.8,stop,,False,20.1975,1.598,ok,normal,constant
P8,Baseline,direct,t1,0.18833,collision,vha,257.0,,259.089,,2.089,2088.9,stop,,False,10.5195,0.519,ok,normal,constant
P8,Baseline,direct,t3,0.16317,collision,vha,423.0,,423.539,,0.539,539.0,gaze_up,,False,10.0899,1.979,ok,normal,constant
P8,Baseline,direct,t4,0.23133,collision,vha,568.0,,568.267,,0.267,267.0,stop,,False,7.7657,2.242,ok,normal,constant
P8,Baseline,direct,t5,0.25632,collision,vha,715.0,,715.431,,0.431,431.1,stop,,False,9.4966,2.133,ok,normal,constant
P9,Adaptive,direct,t5,0.01467,collision,f,31.316,,31.568,,0.252,252.3,run_back,,False,11.0538,4.783,ok,fast,dynamic
P9,Adaptive,direct,t2,0.18999,collision,vha,328.0,,328.583,,0.583,582.9,stop,,False,10.7614,1.983,ok,fast,dynamic
P9,Adaptive,direct,t3,0.05809,collision,vha,394.0,,396.453,,2.453,2452.9,run,,False,7.2501,0.313,ok,fast,dynamic
P9,Adaptive,direct,t4,0.15438,collision,vha,564.0,,566.728,,2.728,2727.9,run,,False,9.1545,0.113,ok,fast,dynamic
P9,Adaptive,direct,t1,0.13299,collision,vha,615.0,,617.364,,2.364,2363.8,run,,False,7.1561,0.403,ok,fast,dynamic
P9,Baseline,direct,t3,0.18462,collision,vha,42.0,,44.722,,2.722,2722.2,gaze_up,,False,8.1468,0.279,ok,fast,dynamic
P9,Baseline,direct,t5,0.19863,collision,vha,223.0,,224.981,,1.981,1981.2,gaze_side,,False,9.6785,1.133,ok,fast,dynamic
P9,Baseline,direct,t1,0.20657,collision,vha,347.0,,348.819,,1.819,1819.5,run,,False,8.3134,1.133,ok,fast,dynamic
P9,Baseline,direct,t4,0.15379,collision,vha,434.0,,436.526,,2.526,2525.7,run,,False,11.4166,0.629,ok,fast,dynamic
P9,Baseline,direct,t2,0.26321,collision,vha,495.0,,496.256,,1.256,1255.6,gaze_side,,False,12.1901,1.667,ok,fast,dynamic
