participant_id,session_date,condition,block_order,tia_unanswered_item_count,tia_reliability_competence,tia_understandability_predictability,tia_familiarity,tia_intention_of_developers,tia_propensity_to_trust,tia_trust_in_automation_core,tlx_raw_mean,tlx_weighted_score,tlx_weight_sum_check,tlx_weight_mental,tlx_rating_mental,tlx_weight_physical,tlx_rating_physical,tlx_weight_temporal,tlx_rating_temporal,tlx_weight_performance,tlx_rating_performance,tlx_weight_effort,tlx_rating_effort,tlx_weight_frustration,tlx_rating_frustration,vdl_usefulness,vdl_satisfying
P01,2026-07-21,Adaptive System,1st (first block completed),0,3.83,4.0,1.0,4.5,3.67,4.0,39.17,40.67,15,3,80,2,35,1,0,1,50,3,50,5,20,1.2,1.0
P01,2026-07-21,Fixed Baseline,2nd (second block completed),0,3.83,3.75,1.0,4.5,3.33,4.0,13.33,14.67,15,4,15,4,20,2,20,1,10,2,5,2,10,1.0,1.0
P02,2026-07-21,Adaptive System,2nd (second block completed),0,2.5,1.5,2.5,4.0,2.0,2.0,41.67,44.0,15,4,45,1,5,2,5,0,100,3,5,5,90,-0.2,-1.75
P02,2026-07-21,Fixed Baseline,1st (first block completed),0,3.67,3.25,1.0,4.0,3.33,3.0,33.33,26.67,15,5,25,1,5,4,10,2,100,3,10,0,50,1.8,0.5
P03,2026-07-21,Adaptive System,1st (first block completed),0,2.67,2.75,1.0,4.5,2.67,2.0,50.0,60.33,15,5,70,0,10,3,25,1,60,2,60,4,75,1.4,-0.5
P03,2026-07-21,Fixed Baseline,2nd (second block completed),0,3.33,3.75,1.0,4.5,3.0,3.5,35.0,45.67,15,5,55,1,10,0,15,3,80,2,20,4,30,1.0,0.75
P04,2026-07-22,Adaptive System,2nd (second block completed),0,4.17,3.75,1.0,5.0,3.0,3.5,10.83,11.0,15,3,10,3,0,5,10,1,25,0,0,3,20,1.8,0.75
P04,2026-07-22,Fixed Baseline,1st (first block completed),0,4.33,5.0,1.0,5.0,3.67,4.5,18.33,21.67,15,4,5,0,0,5,0,3,95,2,10,1,0,1.0,1.25
P05,2026-07-22,Adaptive System,1st (first block completed),0,3.33,3.0,1.0,5.0,3.33,3.0,44.17,51.67,15,2,20,5,60,3,95,3,0,0,15,2,75,1.8,-0.5
P05,2026-07-22,Fixed Baseline,2nd (second block completed),0,2.17,2.75,2.0,2.5,3.33,2.0,67.5,75.33,15,1,65,2,80,4,100,4,75,1,25,3,60,0.6,-0.25
P06,2026-07-23,Adaptive System,2nd (second block completed),3,2.0,2.0,,3.5,2.5,1.5,77.5,81.0,15,1,90,4,100,3,75,3,75,3,75,1,50,0.6,-0.25
P06,2026-07-23,Fixed Baseline,1st (first block completed),3,3.17,3.0,3.0,4.5,2.5,4.0,65.83,70.33,15,2,100,2,90,3,70,3,80,5,45,0,10,1.8,1.25
P07,2026-07-23,Adaptive System,1st (first block completed),3,3.0,2.5,1.0,4.0,3.33,3.0,41.67,48.33,15,5,35,1,10,1,10,3,70,4,65,1,60,1.2,0.0
P07,2026-07-23,Fixed Baseline,2nd (second block completed),3,3.0,2.5,2.5,,3.33,3.0,42.5,50.33,15,5,65,1,15,4,40,3,65,2,30,0,40,1.4,-0.25
P08,2026-07-23,Adaptive System,2nd (second block completed),1,3.0,2.5,4.0,3.5,3.0,2.5,60.83,68.0,15,4,85,2,35,4,65,2,70,3,70,0,40,0.2,-0.25
P08,2026-07-23,Fixed Baseline,1st (first block completed),1,4.0,4.25,5.0,4.0,3.0,4.0,32.5,32.0,15,4,10,4,30,2,50,2,80,3,20,0,5,1.4,1.0
P09,2026-07-23,Adaptive System,1st (first block completed),0,3.0,4.25,1.0,4.5,1.67,2.5,35.83,39.0,15,5,40,3,20,4,30,2,90,1,25,0,10,1.6,0.25
P09,2026-07-23,Fixed Baseline,2nd (second block completed),0,1.67,3.0,1.5,3.5,1.67,1.5,41.67,49.0,15,5,65,3,20,4,35,2,95,0,15,1,20,-0.6,-0.75
P10,2026-07-24,Adaptive System,2nd (second block completed),0,3.5,4.25,2.5,4.0,2.67,3.5,25.0,34.33,15,5,65,2,10,2,15,4,25,2,20,0,15,1.6,0.5
P10,2026-07-24,Fixed Baseline,1st (first block completed),0,3.33,4.25,1.5,4.5,2.0,3.0,23.33,34.0,15,5,70,2,5,1,20,4,25,2,10,1,10,1.4,0.25
P11,2026-07-24,Adaptive System,1st (first block completed),1,2.8,3.25,1.0,3.0,3.67,2.5,48.33,63.67,15,2,25,0,0,5,65,4,80,1,50,3,70,1.0,-1.25
P11,2026-07-24,Fixed Baseline,2nd (second block completed),1,2.8,2.75,1.0,3.0,4.0,2.0,45.0,64.67,15,2,25,0,0,5,75,3,75,1,20,4,75,0.8,-1.25
P12,2026-07-24,Adaptive System,2nd (second block completed),0,3.17,4.25,4.0,4.0,2.33,4.0,53.33,58.67,15,3,65,0,35,5,75,1,60,4,40,2,45,1.4,1.25
P12,2026-07-24,Fixed Baseline,1st (first block completed),0,3.0,4.25,3.0,3.5,2.33,4.0,54.17,59.33,15,3,70,0,30,4,40,2,75,1,45,5,65,1.0,0.0
P13,2026-07-24,Adaptive System,1st (first block completed),0,3.83,4.0,1.0,4.5,3.67,4.0,30.0,40.33,15,2,25,1,15,1,30,5,80,2,5,4,25,2.0,0.25
P13,2026-07-24,Fixed Baseline,2nd (second block completed),0,3.0,3.25,1.0,4.0,3.0,3.5,40.83,48.67,15,3,60,1,25,1,40,4,35,1,20,5,65,1.6,0.0
P14,2026-07-24,Adaptive System,2nd (second block completed),1,4.17,4.25,1.0,5.0,2.67,4.0,39.17,49.67,15,5,60,1,25,3,40,3,70,3,30,0,10,1.8,1.5
P14,2026-07-24,Fixed Baseline,1st (first block completed),1,3.5,3.5,1.0,5.0,3.0,4.5,55.83,65.0,15,4,70,2,25,5,75,3,70,1,60,0,35,1.8,0.75
P15,2026-07-27,Adaptive System,1st (first block completed),0,2.67,2.75,1.0,3.0,2.67,2.0,20.0,31.33,15,0,5,2,0,5,60,3,50,1,0,4,5,1.2,-0.25
P15,2026-07-27,Fixed Baseline,2nd (second block completed),0,2.0,1.5,1.0,3.0,2.67,1.0,28.33,39.33,15,1,10,1,0,5,60,2,30,2,30,4,40,0.0,-0.75
P16,2026-07-27,Adaptive System,2nd (second block completed),2,3.83,4.75,,4.0,3.33,4.0,61.67,64.0,15,2,70,2,70,3,20,5,85,3,65,0,60,2.0,0.75
P16,2026-07-27,Fixed Baseline,1st (first block completed),2,3.33,4.0,1.0,5.0,3.67,4.0,50.83,57.67,15,2,20,4,80,2,0,5,85,2,40,0,80,1.8,0.25
P17,2026-07-27,Adaptive System,1st (first block completed),0,3.83,4.5,1.0,5.0,3.67,4.5,25.83,29.67,15,2,15,1,20,4,25,5,50,3,15,0,30,1.6,0.0
P17,2026-07-27,Fixed Baseline,2nd (second block completed),0,2.67,2.75,1.0,3.5,2.67,3.0,29.17,34.33,15,1,25,0,20,2,30,5,50,3,20,4,30,1.6,-0.5
P18,2026-07-28,Adaptive System,2nd (second block completed),0,3.0,2.5,1.0,4.5,1.67,2.0,25.0,25.67,15,4,15,4,20,4,25,2,65,1,15,0,10,1.6,0.75
P18,2026-07-28,Fixed Baseline,1st (first block completed),0,3.5,3.75,1.0,5.0,1.67,3.0,25.0,28.67,15,3,20,5,30,4,15,2,75,1,10,0,0,1.8,1.5
P19,2026-07-28,Adaptive System,1st (first block completed),0,4.17,4.25,1.0,5.0,3.0,5.0,24.17,42.33,15,3,5,2,0,5,75,1,5,0,0,4,60,1.4,0.75
P19,2026-07-28,Fixed Baseline,2nd (second block completed),0,2.5,3.5,1.5,3.0,3.0,2.5,50.0,65.67,15,1,5,4,30,3,95,2,50,0,25,5,95,0.6,-0.25
P20,2026-07-29,Adaptive System,2nd (second block completed),0,3.5,4.0,1.0,5.0,3.0,4.0,31.67,43.67,15,2,15,4,80,3,40,0,10,1,10,5,35,1.6,-0.25
P20,2026-07-29,Fixed Baseline,1st (first block completed),1,3.17,3.0,1.0,5.0,2.67,4.0,44.17,61.0,15,2,15,4,70,5,85,0,25,1,15,3,55,1.0,-1.5
P21,2026-07-29,Adaptive System,1st (first block completed),0,4.17,5.0,1.0,5.0,3.33,4.0,0.83,1.67,15,5,5,1,0,4,0,2,0,3,0,0,0,1.8,1.25
P21,2026-07-29,Fixed Baseline,2nd (second block completed),0,4.0,4.75,1.0,5.0,3.33,4.0,0.83,1.67,15,5,5,1,0,2,0,3,0,4,0,0,0,1.4,1.0
P22,2026-07-30,Adaptive System,2nd (second block completed),0,3.5,4.25,1.0,5.0,1.67,4.0,7.5,7.67,15,1,5,2,30,5,10,4,0,3,0,0,0,1.0,0.0
P22,2026-07-30,Fixed Baseline,1st (first block completed),0,3.83,4.25,1.5,5.0,1.67,4.5,12.5,18.0,15,2,5,3,20,5,25,2,0,3,25,0,0,0.8,0.25
P23,2026-07-30,Adaptive System,1st (first block completed),0,3.33,4.25,1.5,4.5,3.0,4.0,8.33,14.67,15,2,0,3,10,4,10,5,30,1,0,0,0,2.0,1.25
P23,2026-07-30,Fixed Baseline,2nd (second block completed),0,3.83,4.5,1.0,5.0,3.33,4.0,3.33,4.67,15,2,0,5,5,3,0,4,10,1,5,0,0,1.6,-0.5
P24,2026-07-30,Adaptive System,2nd (second block completed),0,4.17,4.5,1.0,4.0,2.0,3.5,0.0,0.0,15,5,0,1,0,2,0,1,0,3,0,3,0,2.0,2.0
